Date / Time;Mode;Category;Sub category;Income/Expense;Debit/Credit
Kamis, 26 Agustus 2021;CUB - online payment;Food;Snacks;Expense;40
Jumat, 27 Agustus 2021;CUB - online payment;Transportation;Rapido to pg;Expense;43
Senin, 30 Agustus 2021;CUB - online payment;Other;From Deepak;Income;2250
Kamis, 02 September 2021;CUB - online payment;Household;Bean bag;Expense;2099
Jumat, 03 September 2021;CUB - online payment;Other;From vicky;Income;100
Selasa, 14 September 2021;CUB - online payment;Other;Kumara;Income;170
Kamis, 23 September 2021;CUB - online payment;Food;Sent to vicky;Expense;300
Kamis, 23 September 2021;CUB - online payment;Food;Dinner;Expense;465
Kamis, 23 September 2021;CUB - online payment;Food;Pepsi;Expense;40
Jumat, 24 September 2021;CUB - online payment;Food;Lunch with company;Expense;133
Jumat, 24 September 2021;CUB - online payment;salary;office;Income;55000
Sabtu, 25 September 2021;CUB - online payment;Transportation;Train to vnr;Expense;3325
Senin, 27 September 2021;CUB - online payment;Other;To vicky;Expense;300
Jumat, 01 Oktober 2021;CUB - online payment;Food;Friday snacks with preethi gang;Expense;106
Jumat, 01 Oktober 2021;CUB - online payment;salary;office;Income;55140
Jumat, 01 Oktober 2021;CUB - online payment;Other;From barath;Income;201
Sabtu, 02 Oktober 2021;CUB - online payment;Household;Bean bag;Expense;2099
Sabtu, 02 Oktober 2021;CUB - online payment;Food;Kfc dinner;Expense;641
Kamis, 14 Oktober 2021;CUB - online payment;Food;Panipoori;Expense;80
Sabtu, 16 Oktober 2021;CUB - online payment;Food;Milk with bharath;Expense;110
Senin, 18 Oktober 2021;CUB - online payment;Other;To kumara;Expense;10000
Rabu, 27 Oktober 2021;CUB - online payment;Other;From ganesan;Income;40
Sabtu, 30 Oktober 2021;CUB - online payment;Other;From abi;Income;20
Sabtu, 30 Oktober 2021;CUB - online payment;Transportation;Rapido + toll;Expense;286
Sabtu, 30 Oktober 2021;CUB - online payment;Transportation;Bommasandra to pg;Expense;199
Senin, 01 November 2021;CUB - online payment;Food;Lunch with not preethi;Expense;135,5
Selasa, 02 November 2021;CUB - online payment;Household;Bean bag;Expense;4099
Selasa, 02 November 2021;CUB - online payment;Food;Dinner with aravind;Expense;373
Sabtu, 13 November 2021;CUB - online payment;Other;From dad;Income;1000
Minggu, 14 November 2021;CUB - online payment;Food;Lunch pongal;Expense;1530
Minggu, 14 November 2021;CUB - online payment;Other;From gowdham;Income;340
Minggu, 14 November 2021;CUB - online payment;Salary;office;Income;55240
Minggu, 14 November 2021;CUB - online payment;Other;Siva + 100 cash;Income;70
Kamis, 18 November 2021;CUB - online payment;Other;From dad;Income;1000
Sabtu, 27 November 2021;CUB - online payment;Transportation;Rapido;Expense;35
Sabtu, 27 November 2021;CUB - online payment;Food;Dinner with gowdham;Expense;130
Sabtu, 27 November 2021;CUB - online payment;Food;Dinner with gowdham;Expense;120
Minggu, 28 November 2021;CUB - online payment;Food;Zomato;Expense;269,4
Minggu, 28 November 2021;CUB - online payment;Food;Snack;Expense;94
Senin, 29 November 2021;CUB - online payment;Food;Breakfast;Expense;40
Senin, 29 November 2021;CUB - online payment;Food;Panipoori;Expense;40
Senin, 29 November 2021;CUB - online payment;Food;Lunch with company;Expense;40
Senin, 29 November 2021;CUB - online payment;Food;Dinner;Expense;50
Senin, 29 November 2021;CUB - online payment;Transportation;Rapido to pg;Expense;44
Selasa, 30 November 2021;CUB - online payment;Food;Breakfast;Expense;70
Selasa, 30 November 2021;CUB - online payment;Food;Lunch with company;Expense;128
Selasa, 30 November 2021;CUB - online payment;apparel;Bharath birthday;Expense;115
Rabu, 01 Desember 2021;CUB - online payment;Food;Pizza;Expense;301,75
Rabu, 01 Desember 2021;CUB - online payment;Other;From kumara;Income;200
Rabu, 01 Desember 2021;CUB - online payment;Other;Recharge by gowdham;Expense;479
Kamis, 02 Desember 2021;CUB - online payment;Other;From dad;Income;10000
Kamis, 02 Desember 2021;CUB - online payment;Food;Lunch;Expense;80
Kamis, 02 Desember 2021;CUB - online payment;Household;Mirror;Expense;7770
Minggu, 12 Desember 2021;CUB - online payment;Food;Milk with bharath;Expense;25
Selasa, 14 Desember 2021;CUB - online payment;Food;Milk with bharath;Expense;65
Selasa, 14 Desember 2021;CUB - online payment;Food;Snacks;Expense;75
Selasa, 14 Desember 2021;CUB - online payment;Food;Lunch;Expense;400
Kamis, 16 Desember 2021;CUB - online payment;Food;Lunch;Expense;30
Kamis, 16 Desember 2021;CUB - online payment;Food;Panipoori;Expense;20
Kamis, 16 Desember 2021;CUB - online payment;Food;Egg;Expense;300
Jumat, 17 Desember 2021;CUB - online payment;Food;Lunch with company;Expense;110
Jumat, 17 Desember 2021;CUB - online payment;Food;Milk with bharath;Expense;700
Sabtu, 18 Desember 2021;CUB - online payment;Food;Lunch;Expense;160
Sabtu, 18 Desember 2021;CUB - online payment;Other;Lended money;Income;400
Sabtu, 18 Desember 2021;CUB - online payment;Food;To rahul;Expense;113
Sabtu, 18 Desember 2021;CUB - online payment;Allowance;From dad;Income;5000
Sabtu, 18 Desember 2021;CUB - online payment;Other;To abijith;Expense;200
Minggu, 19 Desember 2021;CUB - online payment;Other;To siva;Expense;10000
Senin, 20 Desember 2021;CUB - online payment;Food;Milk with bharath;Expense;40
Senin, 20 Desember 2021;CUB - online payment;Food;Lunch with barath;Expense;85
Senin, 20 Desember 2021;CUB - online payment;Food;Water;Expense;20
Senin, 20 Desember 2021;CUB - online payment;Food;Snacks;Expense;20
Senin, 20 Desember 2021;CUB - online payment;Transportation;Taxi;Expense;800
Senin, 20 Desember 2021;CUB - online payment;Food;Milk with bharath;Expense;80
Selasa, 21 Desember 2021;CUB - online payment;Food;Bun;Expense;18
Selasa, 21 Desember 2021;CUB - online payment;Food;Puffs;Expense;25
Selasa, 21 Desember 2021;CUB - online payment;Food;Dinner with barath;Expense;239
